{1.57, 2.14, 2.14, 0.56, 0.46, 1.02, 0.10, 0.94, 0.47, 0.46}, 
{1.75, 2.63, 2.60, 0.56, 0.49, 1.05, 0.15, 1.09, 0.60, 0.63}, 
{1.52, 1.92, 1.92, 0.47, 0.34, 0.81, 0.09, 0.77, 0.42, 0.43}, 
{1.37, 1.85, 1.88, 0.48, 0.34, 0.82, 0.08, 0.70, 0.39, 0.39}, 
{1.16, 1.77, 1.79, 0.41, 0.37, 0.78, 0.05, 0.70, 0.40, 0.41}, 
{1.89, 2.54, 2.53, 0.52, 0.47, 0.99, 0.09, 1.06, 0.55, 0.55}, 
{1.60, 2.20, 2.21, 0.53, 0.45, 0.98, 0.07, 0.74, 0.48, 0.47}, 
{1.66, 2.33, 2.31, 0.53, 0.48, 1.01, 0.10, 0.94, 0.42, 0.42}, 
{1.24, 1.91, 1.91, 0.54, 0.45, 0.99, 0.20, 0.59, 0.32, 0.33}, 
{1.19, 1.56, 1.57, 0.33, 0.34, 0.68, 0.02, 0.70, 0.36, 0.35}, 
{1.40, 1.89, 1.89, 0.51, 0.35, 0.86, 0.15, 0.85, 0.53, 0.54}, 
{1.51, 2.33, 2.38, 0.38, 0.54, 0.92, 0.01, 0.95, 0.47, 0.45}, 
{1.85, 2.59, 2.56, 0.38, 0.59, 0.98, 0.05, 1.00, 0.59, 0.61}, 
{1.45, 1.89, 1.90, 0.41, 0.44, 0.84, 0.05, 0.82, 0.40, 0.40}, 
{1.55, 2.00, 2.00, 0.48, 0.39, 0.87, 0.04, 0.97, 0.49, 0.50}, 
{1.35, 2.12, 2.13, 0.52, 0.45, 0.96, 0.09, 0.84, 0.51, 0.51}, 
{1.24, 1.85, 1.85, 0.52, 0.32, 0.84, 0.06, 0.81, 0.40, 0.40}, 
{1.52, 2.11, 2.16, 0.50, 0.39, 0.88, 0.07, 0.97, 0.40, 0.40}, 
{1.57, 2.02, 2.04, 0.54, 0.49, 1.03, 0.12, 0.75, 0.41, 0.42}, 
{1.66, 2.25, 2.29, 0.57, 0.48, 1.06, 0.10, 0.98, 0.47, 0.47}, 
{1.52, 2.50, 2.53, 0.71, 0.48, 1.20, 0.21, 0.97, 0.58, 0.55}, 
{1.96, 2.51, 2.49, 0.44, 0.63, 1.07, 0.04, 1.09, 0.39, 0.37}, 
{1.50, 1.96, 1.95, 0.46, 0.33, 0.79, 0.05, 0.82, 0.47, 0.47}, 
{1.67, 2.58, 2.59, 0.41, 0.54, 0.95, 0.03, 1.06, 0.36, 0.37}, 
{1.42, 2.18, 2.21, 0.54, 0.36, 0.90, 0.07, 1.16, 0.43, 0.43}, 
{1.85, 2.38, 2.41, 0.57, 0.42, 1.00, 0.07, 1.00, 0.55, 0.55}, 
{1.04, 1.33, 1.35, 0.36, 0.30, 0.66, 0.08, 0.69, 0.32, 0.32}, 
{1.22, 1.84, 1.84, 0.44, 0.34, 0.78, 0.07, 0.94, 0.40, 0.42}, 
{1.55, 2.35, 2.36, 0.55, 0.43, 0.98, 0.12, 1.06, 0.44, 0.43}, 
{1.53, 2.44, 2.48, 0.45, 0.46, 0.91, 0.03, 0.93, 0.57, 0.55}, 
{1.55, 2.25, 2.25, 0.55, 0.42, 0.97, 0.06, 0.95, 0.45, 0.45}, 
{1.80, 2.24, 2.19, 0.55, 0.38, 0.93, 0.16, 1.01, 0.39, 0.42}, 
{1.40, 1.92, 1.94, 0.46, 0.41, 0.86, 0.08, 0.83, 0.43, 0.43}, 
{1.90, 2.76, 2.78, 0.61, 0.58, 1.20, 0.08, 1.09, 0.61, 0.65}, 
{1.38, 1.98, 2.02, 0.51, 0.38, 0.89, 0.06, 0.92, 0.38, 0.39}, 
{1.38, 2.32, 2.36, 0.54, 0.50, 1.04, 0.10, 1.01, 0.50, 0.49}, 
{1.28, 1.87, 1.92, 0.41, 0.41, 0.82, 0.06, 0.87, 0.37, 0.35}, 
{1.53, 2.02, 1.99, 0.43, 0.37, 0.80, 0.04, 0.78, 0.36, 0.36}, 
{1.46, 2.15, 2.20, 0.49, 0.37, 0.86, 0.10, 0.95, 0.55, 0.56}, 
{1.63, 2.40, 2.41, 0.63, 0.38, 1.01, 0.13, 1.17, 0.59, 0.61}, 
{1.43, 1.88, 1.93, 0.53, 0.34, 0.87, 0.13, 0.93, 0.49, 0.50}, 
{0.89, 1.29, 1.32, 0.33, 0.27, 0.60, 0.07, 0.54, 0.33, 0.33}, 
{1.66, 2.13, 2.14, 0.67, 0.43, 1.10, 0.18, 1.04, 0.59, 0.60}, 
{1.20, 1.51, 1.52, 0.38, 0.27, 0.65, 0.12, 0.71, 0.34, 0.37}, 
{1.76, 2.31, 2.31, 0.59, 0.42, 1.01, 0.17, 1.03, 0.49, 0.47}, 
{1.62, 2.43, 2.46, 0.63, 0.49, 1.13, 0.19, 0.85, 0.49, 0.47}, 
{1.58, 2.44, 2.42, 0.50, 0.49, 1.00, 0.12, 1.02, 0.39, 0.40}, 
{1.86, 2.33, 2.35, 0.51, 0.47, 0.98, 0.13, 1.05, 0.56, 0.55}, 
{1.57, 2.21, 2.26, 0.54, 0.47, 1.01, 0.18, 1.09, 0.52, 0.54}, 
{1.57, 2.51, 2.50, 0.68, 0.62, 1.29, 0.22, 0.74, 0.69, 0.66}, 
{1.45, 2.22, 2.23, 0.45, 0.47, 0.93, 0.11, 0.81, 0.42, 0.44}, 
{1.73, 2.32, 2.36, 0.56, 0.50, 1.05, 0.17, 0.96, 0.62, 0.61}, 
