{1.33, 1.76, 1.76, 0.39, 0.38, 0.77, 0.05, 0.77, 0.34, 0.34}, 
{1.25, 1.57, 1.56, 0.29, 0.34, 0.63, 0.03, 0.69, 0.38, 0.37}, 
{1.19, 1.55, 1.56, 0.34, 0.36, 0.70, 0.02, 0.68, 0.37, 0.36}, 
{1.41, 1.93, 1.94, 0.49, 0.34, 0.83, 0.14, 0.89, 0.51, 0.53}, 
{1.36, 1.71, 1.73, 0.45, 0.30, 0.75, 0.14, 0.84, 0.52, 0.54}, 
{1.42, 1.88, 1.89, 0.46, 0.31, 0.78, 0.11, 0.80, 0.50, 0.51}, 
{1.45, 2.49, 2.53, 0.44, 0.56, 1.00, 0.03, 1.00, 0.47, 0.47}, 
{1.62, 2.34, 2.40, 0.46, 0.47, 0.93, 0.03, 0.94, 0.44, 0.42}, 
{1.48, 2.33, 2.37, 0.44, 0.51, 0.96, 0.04, 1.02, 0.44, 0.44}, 
{1.38, 1.99, 1.99, 0.33, 0.44, 0.77, 0.01, 0.79, 0.37, 0.40}, 
{1.69, 2.39, 2.35, 0.38, 0.55, 0.92, 0.05, 0.91, 0.45, 0.45}, 
{1.56, 2.41, 2.39, 0.40, 0.54, 0.94, 0.05, 0.89, 0.48, 0.50}, 
{1.53, 2.05, 2.09, 0.43, 0.48, 0.91, 0.09, 0.83, 0.41, 0.40}, 
{1.46, 1.99, 2.03, 0.41, 0.47, 0.88, 0.07, 0.92, 0.38, 0.38}, 
{1.40, 1.87, 1.90, 0.35, 0.45, 0.81, 0.04, 0.82, 0.37, 0.37}, 
{1.52, 1.94, 1.97, 0.39, 0.49, 0.88, 0.08, 0.81, 0.35, 0.36}, 
{1.48, 1.96, 1.98, 0.39, 0.45, 0.84, 0.08, 0.82, 0.35, 0.35}, 
{1.66, 2.22, 2.21, 0.51, 0.43, 0.94, 0.07, 1.12, 0.56, 0.55}, 
{1.69, 2.16, 2.15, 0.47, 0.44, 0.90, 0.04, 1.02, 0.53, 0.53}, 
{1.60, 2.03, 2.02, 0.48, 0.34, 0.82, 0.05, 0.92, 0.54, 0.52}, 
{1.24, 1.91, 1.93, 0.47, 0.38, 0.85, 0.04, 0.69, 0.47, 0.47}, 
{1.45, 2.22, 2.22, 0.51, 0.44, 0.95, 0.08, 0.96, 0.55, 0.57}, 
{1.32, 2.05, 2.05, 0.47, 0.41, 0.88, 0.05, 0.82, 0.50, 0.53}, 
{1.22, 2.04, 2.06, 0.50, 0.43, 0.93, 0.05, 0.75, 0.48, 0.49}, 
{1.35, 2.06, 2.03, 0.55, 0.40, 0.95, 0.06, 0.77, 0.41, 0.42}, 
{1.23, 2.01, 1.98, 0.55, 0.38, 0.93, 0.07, 0.87, 0.39, 0.41}, 
{1.68, 2.37, 2.38, 0.67, 0.43, 1.10, 0.08, 0.99, 0.50, 0.52}, 
{1.49, 2.26, 2.25, 0.65, 0.37, 1.02, 0.06, 0.98, 0.46, 0.48}, 
{1.45, 2.13, 2.18, 0.54, 0.43, 0.97, 0.08, 0.95, 0.39, 0.38}, 
