{2.30, 2.24, 2.19, 0.99, 0.26, 1.25, 0.41, 1.15, 0.51, 0.51}, 
{2.36, 2.26, 2.22, 0.86, 0.33, 1.19, 0.35, 1.07, 0.50, 0.50}, 
{2.28, 2.25, 2.19, 0.97, 0.30, 1.26, 0.42, 1.04, 0.48, 0.48}, 
{2.16, 2.18, 2.14, 0.77, 0.33, 1.10, 0.31, 1.05, 0.47, 0.48}, 
{2.30, 2.12, 2.09, 0.85, 0.33, 1.18, 0.40, 1.12, 0.47, 0.49}, 
{2.32, 2.73, 2.69, 0.86, 0.47, 1.33, 0.47, 1.20, 0.62, 0.61}, 
{2.41, 2.63, 2.56, 0.75, 0.45, 1.21, 0.42, 1.03, 0.66, 0.62}, 
{1.72, 2.11, 2.06, 0.66, 0.35, 1.01, 0.35, 0.90, 0.52, 0.52}, 
{1.88, 2.36, 2.32, 0.75, 0.34, 1.08, 0.34, 1.09, 0.52, 0.52}, 
{1.71, 1.67, 1.67, 0.60, 0.22, 0.82, 0.23, 0.66, 0.42, 0.42}, 
{0.70, 0.89, 0.88, 0.38, 0.10, 0.48, 0.17, 0.34, 0.19, 0.21}, 
{0.66, 0.90, 0.90, 0.35, 0.10, 0.45, 0.13, 0.21, 0.15, 0.14}, 
{1.93, 1.88, 1.87, 0.70, 0.33, 1.03, 0.25, 0.88, 0.50, 0.53}, 
{1.85, 1.80, 1.79, 0.57, 0.31, 0.88, 0.17, 0.89, 0.48, 0.48}, 
{1.92, 1.92, 1.90, 0.71, 0.34, 1.05, 0.25, 0.84, 0.48, 0.51}, 
{1.78, 1.98, 1.95, 0.45, 0.35, 0.80, 0.17, 0.94, 0.45, 0.48}, 
{1.85, 1.93, 1.89, 0.38, 0.36, 0.73, 0.11, 0.82, 0.42, 0.44}, 
{1.73, 1.59, 1.56, 0.36, 0.26, 0.62, 0.18, 0.80, 0.36, 0.37}, 
{1.80, 2.00, 2.02, 0.73, 0.28, 1.01, 0.29, 0.80, 0.46, 0.44}, 
{2.22, 2.26, 2.24, 0.87, 0.28, 1.15, 0.39, 0.91, 0.61, 0.60}, 
{2.10, 2.24, 2.23, 0.81, 0.32, 1.13, 0.32, 0.87, 0.56, 0.54}, 
{2.20, 2.05, 1.99, 0.63, 0.34, 0.97, 0.28, 0.94, 0.45, 0.46}, 
{2.36, 2.05, 1.98, 0.56, 0.35, 0.91, 0.31, 0.94, 0.41, 0.43}, 
{2.34, 2.02, 1.97, 0.67, 0.35, 1.02, 0.31, 0.93, 0.42, 0.44}, 
{2.41, 2.49, 2.45, 1.00, 0.48, 1.47, 0.52, 0.96, 0.56, 0.58}, 
{2.25, 2.32, 2.26, 0.85, 0.47, 1.32, 0.49, 0.96, 0.51, 0.54}, 
{2.25, 2.18, 2.15, 0.78, 0.41, 1.19, 0.47, 0.85, 0.50, 0.52}, 
{1.28, 1.25, 1.25, 0.42, 0.26, 0.68, 0.17, 0.58, 0.34, 0.33}, 
{0.99, 0.99, 0.98, 0.39, 0.19, 0.58, 0.15, 0.47, 0.26, 0.26}, 
{1.11, 1.06, 1.05, 0.43, 0.18, 0.61, 0.17, 0.47, 0.27, 0.27}, 
{1.64, 1.77, 1.76, 0.68, 0.23, 0.91, 0.35, 0.83, 0.53, 0.54}, 
{1.80, 2.00, 1.97, 0.82, 0.25, 1.06, 0.39, 0.93, 0.59, 0.61}, 
{2.00, 2.14, 2.11, 0.83, 0.24, 1.07, 0.38, 0.93, 0.59, 0.61}, 
{2.02, 2.00, 2.01, 1.18, 0.09, 1.27, 0.50, 1.02, 0.58, 0.58}, 
{2.32, 2.09, 2.08, 0.61, 0.45, 1.06, 0.32, 0.85, 0.47, 0.47}, 
{2.38, 2.12, 2.12, 0.32, 0.49, 0.80, 0.20, 0.94, 0.52, 0.51}, 
{2.12, 2.18, 2.13, 0.64, 0.43, 1.07, 0.30, 0.96, 0.52, 0.52}, 
{1.93, 2.18, 2.13, 0.39, 0.54, 0.93, 0.07, 0.79, 0.49, 0.50}, 
{2.16, 2.15, 2.10, 1.05, 0.14, 1.19, 0.51, 0.95, 0.62, 0.64}, 
{1.70, 1.69, 1.68, 0.65, 0.34, 0.99, 0.30, 0.73, 0.39, 0.37}, 
{1.41, 1.40, 1.40, 0.46, 0.28, 0.73, 0.19, 0.62, 0.29, 0.28}, 
{2.14, 1.88, 1.88, 0.71, 0.28, 0.99, 0.37, 1.16, 0.53, 0.53}, 
{2.08, 1.90, 1.86, 0.73, 0.26, 0.99, 0.39, 1.09, 0.51, 0.50}, 
{2.20, 1.98, 1.98, 0.65, 0.26, 0.91, 0.29, 1.06, 0.51, 0.50}, 
{1.86, 1.84, 1.82, 0.73, 0.23, 0.95, 0.30, 0.91, 0.51, 0.51}, 
{1.76, 1.90, 1.87, 0.86, 0.26, 1.12, 0.38, 0.90, 0.54, 0.55}, 
{1.81, 1.86, 1.85, 0.87, 0.23, 1.11, 0.39, 0.86, 0.52, 0.53}, 
{1.74, 1.70, 1.67, 0.80, 0.22, 1.01, 0.29, 0.80, 0.43, 0.44}, 
{1.80, 1.70, 1.66, 0.83, 0.22, 1.04, 0.33, 0.73, 0.42, 0.44}, 
{1.77, 1.73, 1.73, 0.81, 0.22, 1.03, 0.30, 0.75, 0.42, 0.42}, 
{1.75, 1.71, 1.66, 0.81, 0.20, 1.01, 0.30, 0.77, 0.42, 0.44}, 
{1.88, 1.88, 1.87, 0.67, 0.30, 0.97, 0.29, 0.97, 0.38, 0.39}, 
{1.83, 1.73, 1.74, 0.65, 0.28, 0.92, 0.29, 0.92, 0.38, 0.40}, 
{1.94, 1.92, 1.91, 0.70, 0.27, 0.96, 0.30, 1.03, 0.39, 0.40}, 
{1.98, 1.98, 1.97, 0.64, 0.30, 0.95, 0.29, 1.05, 0.39, 0.39}, 
{2.26, 2.09, 2.06, 0.81, 0.34, 1.14, 0.37, 0.91, 0.49, 0.49}, 
{2.25, 2.09, 2.05, 0.78, 0.36, 1.14, 0.39, 0.97, 0.47, 0.48}, 
{2.17, 2.61, 2.60, 0.94, 0.48, 1.41, 0.44, 0.94, 0.72, 0.71}, 
{1.97, 2.33, 2.31, 0.85, 0.43, 1.28, 0.42, 0.97, 0.65, 0.64}, 
{1.92, 2.34, 2.34, 0.95, 0.37, 1.32, 0.41, 0.90, 0.64, 0.63}, 
{2.17, 2.22, 2.18, 0.59, 0.47, 1.06, 0.23, 0.96, 0.38, 0.42}, 
{2.37, 2.32, 2.26, 0.51, 0.46, 0.97, 0.23, 1.13, 0.39, 0.38}, 
{2.43, 2.51, 2.49, 0.69, 0.49, 1.18, 0.29, 1.04, 0.39, 0.40}, 
{2.25, 2.09, 2.03, 0.86, 0.20, 1.06, 0.37, 0.92, 0.50, 0.52}, 
{2.38, 2.12, 2.10, 0.83, 0.26, 1.09, 0.39, 1.04, 0.50, 0.52}, 
{2.12, 1.97, 1.96, 0.55, 0.25, 0.81, 0.15, 0.97, 0.49, 0.50}, 
{2.22, 2.20, 2.19, 0.63, 0.41, 1.04, 0.32, 1.21, 0.47, 0.49}, 
{2.22, 2.27, 2.27, 0.77, 0.39, 1.17, 0.33, 1.12, 0.49, 0.48}, 
{2.04, 2.28, 2.28, 0.71, 0.44, 1.15, 0.29, 1.16, 0.47, 0.49}, 
{2.02, 1.75, 1.77, 0.76, 0.19, 0.96, 0.40, 0.98, 0.51, 0.53}, 
{2.12, 1.82, 1.83, 0.78, 0.19, 0.97, 0.42, 1.02, 0.52, 0.55}, 
{1.75, 1.50, 1.52, 0.69, 0.14, 0.82, 0.32, 0.86, 0.42, 0.44}, 
{1.96, 1.92, 1.90, 0.70, 0.24, 0.94, 0.33, 1.09, 0.40, 0.40}, 
{2.14, 2.08, 2.06, 0.82, 0.26, 1.08, 0.39, 1.12, 0.39, 0.38}, 
{1.75, 1.74, 1.73, 0.68, 0.23, 0.92, 0.32, 1.00, 0.34, 0.33}, 
{2.26, 2.09, 2.11, 0.88, 0.25, 1.14, 0.41, 1.05, 0.59, 0.60}, 
{2.25, 2.09, 2.12, 0.87, 0.26, 1.13, 0.40, 1.04, 0.59, 0.58}, 
{2.15, 2.00, 2.03, 0.82, 0.23, 1.05, 0.37, 1.04, 0.56, 0.56}, 
{1.61, 1.65, 1.66, 0.64, 0.27, 0.91, 0.28, 0.83, 0.38, 0.37}, 
{1.57, 1.49, 1.47, 0.60, 0.24, 0.83, 0.24, 0.78, 0.39, 0.40}, 
{1.66, 1.64, 1.63, 0.65, 0.28, 0.92, 0.27, 0.91, 0.41, 0.43}, 
{2.24, 2.03, 1.99, 0.79, 0.27, 1.06, 0.46, 1.13, 0.46, 0.49}, 
