{1.74, 2.47, 2.46, 1.10, 0.39, 1.50, 0.45, 1.08, 0.54, 0.55}, 
{1.72, 2.49, 2.50, 1.05, 0.47, 1.52, 0.39, 1.10, 0.61, 0.62}, 
{1.70, 2.53, 2.51, 1.17, 0.45, 1.62, 0.48, 1.05, 0.50, 0.53}, 
{1.83, 2.59, 2.59, 1.06, 0.49, 1.54, 0.40, 1.02, 0.54, 0.57}, 
{1.27, 2.33, 2.32, 0.77, 0.45, 1.22, 0.22, 0.88, 0.52, 0.52}, 
{1.42, 2.58, 2.58, 0.91, 0.42, 1.32, 0.17, 0.98, 0.73, 0.76}, 
{1.42, 2.46, 2.46, 0.86, 0.44, 1.30, 0.25, 1.07, 0.79, 0.80}, 
{1.25, 2.07, 2.10, 0.76, 0.37, 1.13, 0.20, 0.87, 0.51, 0.50}, 
{1.31, 2.18, 2.18, 0.75, 0.39, 1.14, 0.19, 0.95, 0.64, 0.65}, 
{1.39, 2.02, 2.00, 0.67, 0.37, 1.04, 0.20, 0.78, 0.62, 0.61}, 
{1.37, 2.12, 2.12, 0.51, 0.47, 0.98, 0.06, 0.94, 0.51, 0.52}, 
{1.21, 2.32, 2.31, 1.06, 0.44, 1.50, 0.37, 0.98, 0.63, 0.66}, 
{1.21, 2.29, 2.27, 0.62, 0.52, 1.14, 0.13, 0.85, 0.47, 0.48}, 
{1.26, 1.81, 1.80, 0.52, 0.31, 0.83, 0.14, 0.81, 0.47, 0.47}, 
{1.24, 1.81, 1.82, 0.57, 0.29, 0.86, 0.12, 0.74, 0.48, 0.47}, 
{1.22, 1.90, 1.91, 0.59, 0.31, 0.90, 0.15, 0.86, 0.46, 0.48}, 
{1.71, 2.54, 2.55, 0.93, 0.50, 1.43, 0.31, 0.82, 0.53, 0.52}, 
{1.77, 2.74, 2.77, 0.94, 0.51, 1.45, 0.27, 0.92, 0.54, 0.54}, 
{1.15, 1.92, 1.90, 0.89, 0.36, 1.24, 0.37, 0.79, 0.42, 0.43}, 
{1.19, 1.94, 1.93, 0.73, 0.46, 1.19, 0.29, 0.74, 0.38, 0.39}, 
{1.43, 2.19, 2.16, 0.85, 0.46, 1.31, 0.30, 0.83, 0.52, 0.54}, 
{1.20, 1.97, 1.95, 0.92, 0.39, 1.31, 0.36, 0.88, 0.54, 0.56}, 
{1.47, 2.14, 2.16, 1.00, 0.46, 1.46, 0.43, 0.88, 0.52, 0.54}, 
{0.92, 1.37, 1.39, 0.55, 0.26, 0.82, 0.15, 0.64, 0.42, 0.42}, 
{0.66, 1.13, 1.17, 0.51, 0.22, 0.72, 0.14, 0.52, 0.34, 0.34}, 
{0.91, 1.38, 1.39, 0.54, 0.29, 0.83, 0.13, 0.56, 0.38, 0.39}, 
{1.30, 2.08, 2.10, 0.87, 0.29, 1.16, 0.31, 0.90, 0.72, 0.73}, 
{1.22, 2.12, 2.14, 0.90, 0.31, 1.21, 0.30, 0.90, 0.77, 0.77}, 
{1.45, 2.47, 2.50, 1.06, 0.35, 1.41, 0.35, 1.04, 0.80, 0.82}, 
{1.41, 2.31, 2.36, 0.84, 0.56, 1.40, 0.27, 1.05, 0.79, 0.82}, 
{1.35, 2.24, 2.29, 0.85, 0.46, 1.31, 0.28, 1.03, 0.78, 0.81}, 
{1.38, 2.31, 2.37, 0.89, 0.52, 1.41, 0.33, 1.05, 0.75, 0.78}, 
{1.64, 2.49, 2.48, 0.79, 0.62, 1.41, 0.28, 1.04, 0.66, 0.66}, 
{1.62, 2.47, 2.49, 0.77, 0.60, 1.38, 0.25, 1.07, 0.89, 0.88}, 
{1.48, 2.46, 2.45, 1.00, 0.57, 1.57, 0.35, 1.06, 0.81, 0.83}, 
{1.28, 2.47, 2.48, 0.90, 0.53, 1.44, 0.29, 0.85, 0.50, 0.50}, 
{1.25, 2.25, 2.32, 0.93, 0.48, 1.41, 0.38, 0.81, 0.55, 0.55}, 
{1.25, 2.53, 2.55, 1.00, 0.48, 1.48, 0.28, 1.12, 0.61, 0.60}, 
{1.46, 2.22, 2.19, 0.71, 0.44, 1.15, 0.16, 0.98, 0.64, 0.63}, 
{1.35, 2.54, 2.57, 1.02, 0.48, 1.50, 0.33, 1.11, 0.86, 0.87}, 
{1.15, 2.21, 2.25, 0.90, 0.44, 1.34, 0.29, 0.94, 0.59, 0.61}, 
{1.23, 2.35, 2.34, 0.97, 0.42, 1.39, 0.32, 1.02, 0.77, 0.79}, 
{1.25, 2.09, 2.09, 0.90, 0.40, 1.30, 0.27, 0.90, 0.65, 0.68}, 
{1.40, 2.32, 2.36, 0.96, 0.38, 1.34, 0.26, 1.00, 0.69, 0.72}, 
